customer_key,r_score,f_score,m_score,monetary,segment
8818,2,1,1,10507.45,At Risk
9723,5,1,1,10512.98,Recent
9369,1,1,1,10519.16,At Risk
2621,1,1,1,10574.18,At Risk
4122,3,2,1,10575.30,Regular
2146,5,1,1,10618.66,Recent
7106,2,1,1,10740.48,At Risk
6977,1,1,1,10764.20,At Risk
6735,1,1,1,10775.74,At Risk
2938,1,1,1,10795.50,At Risk
3738,1,1,1,10799.21,At Risk
1723,3,1,1,10814.28,Regular
8372,1,1,1,10825.32,At Risk
6453,1,1,1,10848.31,At Risk
3143,1,1,1,10859.97,At Risk
6041,1,1,1,10925.17,At Risk
2888,1,1,1,10928.35,At Risk
9664,2,1,1,10951.20,At Risk
6618,5,1,1,10989.83,Recent
36,1,1,1,10995.35,At Risk
9190,2,1,1,11056.26,At Risk
6708,1,1,1,11072.26,At Risk
8286,3,1,1,11212.27,Regular
4031,1,1,1,11214.35,At Risk
7167,3,1,1,11276.43,Regular
6901,1,1,1,11304.08,At Risk
3692,2,1,1,11310.76,At Risk
8175,3,1,1,11316.34,Regular
923,1,1,1,11320.24,At Risk
414,1,1,1,11343.03,At Risk
5147,1,1,1,11403.39,At Risk
5420,1,1,1,11428.64,At Risk
7897,1,1,1,11447.19,At Risk
8187,4,2,1,11467.48,Recent
7863,2,1,1,11493.97,At Risk
3781,5,1,1,11510.03,Recent
8844,1,2,1,11517.93,At Risk
2951,1,1,1,11521.37,At Risk
829,2,1,1,11565.57,At Risk
5899,1,1,1,11639.02,At Risk
9305,1,1,1,11658.85,At Risk
5021,1,1,1,11698.93,At Risk
1075,3,1,1,11720.28,Regular
3321,1,1,1,11772.47,At Risk
2773,1,1,1,11797.84,At Risk
7093,5,1,1,11802.82,Recent
3268,1,1,1,11802.89,At Risk
5840,2,2,1,11829.93,At Risk
6933,2,2,1,11865.69,At Risk
6472,1,1,1,11924.79,At Risk
1976,1,1,1,11930.92,At Risk
2572,1,1,1,11933.10,At Risk
9498,2,1,1,11933.26,At Risk
8585,2,1,1,11983.58,At Risk
8890,1,1,1,12009.27,At Risk
198,2,2,1,12026.09,At Risk
949,1,1,1,12090.16,At Risk
4416,2,1,1,12098.05,At Risk
2791,3,1,1,12114.45,Regular
3231,2,1,1,12150.92,At Risk
852,1,1,1,12216.26,At Risk
9648,4,1,1,12235.40,Recent
8680,2,1,1,12347.27,At Risk
271,3,3,1,12359.38,Regular
3338,2,1,1,12370.01,At Risk
1368,1,1,1,12376.75,At Risk
4768,4,2,1,12403.39,Recent
2135,5,1,1,12422.54,Recent
1511,1,1,1,12424.28,At Risk
9602,1,1,1,12424.73,At Risk
2976,1,1,1,12436.39,At Risk
2643,1,1,1,12436.92,At Risk
2089,1,1,1,12448.81,At Risk
1721,1,1,1,12451.02,At Risk
7963,2,1,1,12463.17,At Risk
2904,2,1,1,12499.26,At Risk
9792,1,1,1,12521.86,At Risk
9472,4,1,1,12551.67,Recent
7215,1,1,1,12593.15,At Risk
262,3,1,1,12618.32,Regular
4871,4,1,1,12624.89,Recent
3599,3,1,1,12691.27,Regular
527,1,1,1,12693.45,At Risk
7969,1,1,1,12762.74,At Risk
9771,3,1,1,12789.32,Regular
2192,1,1,1,12803.03,At Risk
3075,1,1,1,12814.33,At Risk
4919,1,1,1,12835.52,At Risk
868,1,1,1,12886.71,At Risk
571,1,1,1,12960.23,At Risk
7677,1,1,1,13000.29,At Risk
2760,5,1,1,13006.31,Recent
4864,1,1,1,13014.18,At Risk
5904,1,1,1,13078.11,At Risk
2025,5,2,1,13094.47,Recent
2373,2,2,1,13121.52,At Risk
5561,2,1,1,13125.21,At Risk
29,5,1,1,13153.81,Recent
4273,1,1,1,13175.40,At Risk
9613,1,1,1,13179.77,At Risk
7199,3,1,1,13230.92,Regular
1455,2,2,1,13276.82,At Risk
7861,2,1,1,13277.67,At Risk
1683,1,1,1,13314.15,At Risk
4208,1,1,1,13350.05,At Risk
5050,1,1,1,13380.80,At Risk
6003,1,1,1,13454.23,At Risk
2499,3,1,1,13467.76,Regular
433,4,1,1,13502.22,Recent
5882,3,2,1,13509.92,Regular
2314,2,1,1,13515.17,At Risk
4969,2,1,1,13522.08,At Risk
2109,1,1,1,13536.71,At Risk
4755,1,1,1,13616.61,At Risk
9010,1,1,1,13632.35,At Risk
6145,1,1,1,13685.73,At Risk
3948,1,1,1,13717.80,At Risk
3118,1,1,1,13731.97,At Risk
1361,1,1,1,13746.05,At Risk
9046,4,1,1,13889.18,Recent
5142,1,1,1,13952.34,At Risk
1189,1,2,1,13965.65,At Risk
9759,1,1,1,13976.22,At Risk
6775,3,1,1,14034.36,Regular
6481,5,1,1,14059.30,Recent
174,2,1,1,14131.33,At Risk
4215,5,1,1,14238.64,Recent
745,1,1,1,14257.52,At Risk
4049,5,1,1,14273.73,Recent
8826,1,1,1,14330.96,At Risk
3424,2,3,1,14336.13,Regular
3015,2,1,1,14373.25,At Risk
7962,1,1,1,14393.59,At Risk
8804,3,1,1,14430.80,Regular
4729,1,1,1,14462.37,At Risk
2060,4,1,1,14462.95,Recent
9289,1,1,1,14470.05,At Risk
5355,1,1,1,14490.28,At Risk
1731,1,1,1,14498.26,At Risk
1677,1,1,1,14529.39,At Risk
916,4,1,1,14552.08,Recent
6825,1,1,1,14583.25,At Risk
3367,3,1,1,14619.79,Regular
7917,4,2,1,14651.03,Recent
6167,4,1,1,14659.88,Recent
644,1,1,1,14671.33,At Risk
6195,1,1,1,14672.58,At Risk
1766,2,1,1,14720.62,At Risk
7649,3,1,1,14756.86,Regular
9314,1,1,1,14794.35,At Risk
9728,4,1,1,14795.83,Recent
7321,1,2,1,14815.36,At Risk
9566,1,1,1,14866.29,At Risk
7343,1,2,1,14950.86,At Risk
7206,4,1,1,14984.33,Recent
3695,1,1,1,14989.93,At Risk
4274,1,1,1,15045.70,At Risk
6434,5,1,1,15055.24,Recent
3985,2,1,1,15055.61,At Risk
179,1,1,1,15076.71,At Risk
8836,1,1,1,15092.44,At Risk
4303,4,2,1,15181.07,Recent
7556,3,1,1,15224.86,Regular
1267,1,1,1,15227.38,At Risk
6140,2,1,1,15239.33,At Risk
5176,3,2,1,15241.34,Regular
2784,1,1,1,15265.85,At Risk
6006,3,1,1,15457.05,Regular
8419,5,1,1,15470.68,Recent
9209,5,1,1,15503.06,Recent
2521,4,2,1,15517.25,Recent
8540,2,1,1,15533.35,At Risk
525,3,2,1,15575.69,Regular
2640,3,1,1,15720.97,Regular
992,1,1,1,15723.81,At Risk
3671,1,1,1,15727.90,At Risk
331,1,1,1,15742.98,At Risk
6170,1,2,1,15745.82,At Risk
8277,2,2,1,15770.57,At Risk
9368,5,1,1,15779.24,Recent
1555,1,2,1,15781.53,At Risk
5170,1,1,1,15794.77,At Risk
4039,2,1,1,15795.10,At Risk
2933,1,2,1,15823.71,At Risk
9372,1,1,1,15836.49,At Risk
3824,4,1,1,15838.98,Recent
6907,1,1,1,15840.95,At Risk
5762,4,2,1,15851.82,Recent
5364,3,2,1,15890.69,Regular
5423,1,1,1,15921.89,At Risk
8953,3,2,1,15949.66,Regular
8154,4,1,1,15951.27,Recent
4059,4,1,1,16031.19,Recent
4166,4,2,1,16141.53,Recent
6537,2,2,1,16167.92,At Risk
1038,1,1,1,16183.01,At Risk
5997,1,1,1,16197.53,At Risk
4393,1,2,1,16228.77,At Risk
9041,4,1,1,16264.46,Recent
2077,1,1,1,16292.56,At Risk
283,1,1,1,16316.04,At Risk
3220,2,2,1,16334.18,At Risk
8769,1,1,1,16354.89,At Risk
6296,3,2,1,16362.21,Regular
384,1,2,1,16412.73,At Risk
6797,1,1,1,16415.22,At Risk
8087,1,1,1,16417.40,At Risk
4711,2,1,1,16437.98,At Risk
7421,1,1,1,16438.94,At Risk
6007,2,1,1,16494.44,At Risk
5939,2,2,1,16495.83,At Risk
3337,1,1,1,16521.80,At Risk
6533,2,1,1,16662.26,At Risk
8185,3,1,1,16720.62,Regular
2123,2,1,1,16772.55,At Risk
4617,1,1,1,16785.13,At Risk
2794,4,1,1,16790.43,Recent
6217,5,2,1,16791.10,Recent
8983,2,1,1,16825.11,At Risk
1744,1,1,1,16832.59,At Risk
9507,4,2,1,16869.38,Recent
1135,1,1,1,16891.90,At Risk
5537,2,1,1,16940.13,At Risk
3675,5,1,1,16951.74,Recent
6649,1,1,1,16956.78,At Risk
445,3,1,1,16984.58,Regular
901,1,1,1,16985.85,At Risk
4918,3,1,1,16989.61,Regular
5029,1,1,1,16997.59,At Risk
611,1,2,1,17035.17,At Risk
129,3,2,1,17040.63,Regular
7702,5,1,1,17042.86,Recent
95,1,1,1,17045.63,At Risk
7275,1,1,1,17048.38,At Risk
4777,5,1,1,17180.52,Recent
4,1,1,1,17190.81,At Risk
6913,1,1,1,17264.95,At Risk
4470,1,1,1,17331.91,At Risk
4343,1,1,1,17340.34,At Risk
4726,4,2,1,17503.21,Recent
8536,1,2,1,17716.20,At Risk
2837,2,1,1,17731.68,At Risk
2185,1,1,1,17757.34,At Risk
2278,2,2,1,17837.73,At Risk
3300,2,2,1,17860.75,At Risk
3134,3,2,1,17864.75,Regular
8981,4,1,1,17918.93,Recent
8169,1,1,1,17920.93,At Risk
3224,2,1,1,17988.17,At Risk
9903,1,1,1,18008.04,At Risk
103,1,1,1,18010.03,At Risk
2211,3,2,1,18020.09,Regular
8714,2,1,1,18075.51,At Risk
5214,3,1,1,18095.27,Regular
3090,2,2,1,18107.48,At Risk
2676,3,1,1,18124.28,Regular
5748,1,1,1,18130.26,At Risk
1772,1,1,1,18161.96,At Risk
9977,1,1,1,18171.95,At Risk
776,1,2,1,18217.29,At Risk
994,5,1,1,18288.86,Recent
813,5,2,1,18300.21,Recent
9694,3,2,1,18318.62,Regular
2336,4,2,1,18414.50,Recent
5954,3,3,1,18417.20,Regular
1810,1,1,1,18434.50,At Risk
7741,3,1,1,18513.41,Regular
3498,2,2,1,18612.25,At Risk
3053,1,1,1,18751.93,At Risk
7831,3,2,1,18876.32,Regular
8653,1,1,1,18917.84,At Risk
9741,1,1,1,18935.26,At Risk
8261,1,1,1,18949.90,At Risk
1998,3,1,1,18967.23,Regular
3282,1,2,1,18989.42,At Risk
8833,5,3,1,19036.26,Recent
9424,2,1,1,19174.03,At Risk
8489,1,1,1,19180.31,At Risk
7051,5,1,1,19214.74,Recent
2183,4,1,1,19215.07,Recent
7426,5,2,1,19236.03,Recent
8504,3,1,1,19354.84,Regular
2807,1,2,1,19376.97,At Risk
7713,3,2,1,19380.19,Regular
5340,2,1,1,19386.25,At Risk
1112,1,1,1,19397.61,At Risk
4170,1,1,1,19399.52,At Risk
9127,3,1,1,19462.41,Regular
7087,2,2,1,19463.03,At Risk
2897,1,2,1,19500.21,At Risk
9511,4,2,1,19507.83,Recent
27,3,1,1,19517.63,Regular
1950,1,1,1,19523.94,At Risk
9102,1,1,1,19638.34,At Risk
4750,3,1,1,19670.20,Regular
7720,2,2,1,19676.53,At Risk
6771,4,1,1,19821.39,Recent
4691,5,1,1,19837.86,Recent
8733,1,1,1,19859.67,At Risk
72,5,1,1,19878.15,Recent
3727,4,2,1,19885.88,Recent
3086,1,1,1,19885.96,At Risk
3092,3,1,1,19924.76,Regular
7017,2,2,1,19937.74,At Risk
5031,5,1,1,20011.76,Recent
1790,5,1,1,20059.34,Recent
2034,2,1,1,20065.12,At Risk
4589,2,2,1,20094.31,At Risk
9679,1,1,1,20108.94,At Risk
2455,1,1,1,20123.69,At Risk
1114,1,1,1,20176.45,At Risk
5167,4,1,1,20227.54,Recent
2101,2,1,1,20229.05,At Risk
2425,1,2,1,20253.27,At Risk
8455,1,1,1,20304.42,At Risk
7552,1,1,1,20324.32,At Risk
8417,2,1,1,20392.20,At Risk
6475,3,1,1,20458.24,Regular
1900,1,1,1,20506.49,At Risk
5607,4,3,1,20564.10,Recent
9853,1,2,1,20573.27,At Risk
2480,2,1,1,20573.57,At Risk
8601,1,1,1,20599.11,At Risk
1587,2,1,1,20607.93,At Risk
436,5,2,1,20663.18,Recent
5623,1,1,1,20677.97,At Risk
8076,4,2,1,20688.43,Recent
6426,1,1,1,20715.52,At Risk
6974,2,1,1,20770.73,At Risk
799,1,1,1,20811.66,At Risk
8011,1,1,1,20855.03,At Risk
7549,1,1,1,20862.53,At Risk
7005,3,2,1,20866.19,Regular
5433,2,1,1,20895.42,At Risk
6355,2,2,1,20945.72,At Risk
3794,1,1,1,21005.08,At Risk
9919,5,1,1,21052.97,Recent
5086,2,1,1,21067.09,At Risk
2403,1,2,1,21067.32,At Risk
8964,2,2,1,21088.69,At Risk
1888,1,1,1,21142.01,At Risk
5482,1,1,1,21205.46,At Risk
2675,1,2,1,21215.99,At Risk
4890,2,2,1,21296.12,At Risk
2120,2,1,1,21342.89,At Risk
8700,5,3,1,21356.53,Recent
7943,5,1,1,21357.44,Recent
5572,4,1,1,21391.46,Recent
7004,1,1,1,21407.12,At Risk
2134,1,1,1,21435.82,At Risk
4072,1,1,1,21480.36,At Risk
4508,1,1,1,21480.36,At Risk
5,1,1,1,21509.56,At Risk
7877,2,1,1,21524.82,At Risk
3253,1,1,1,21540.37,At Risk
8204,1,1,1,21588.56,At Risk
1682,2,1,1,21631.49,At Risk
6589,4,1,1,21717.13,Recent
3775,3,2,1,21730.55,Regular
812,2,1,1,21762.99,At Risk
4001,1,1,1,21770.10,At Risk
6070,1,1,1,21871.54,At Risk
2918,1,1,1,21882.49,At Risk
9928,4,3,1,21899.37,Recent
6454,1,1,1,21902.79,At Risk
667,4,2,1,21916.16,Recent
6212,4,1,1,21961.43,Recent
1467,2,2,1,22003.81,At Risk
3859,5,1,1,22023.23,Recent
6660,4,3,1,22039.64,Recent
6316,2,1,1,22063.18,At Risk
7816,1,1,1,22076.30,At Risk
8988,3,1,1,22096.37,Regular
5321,3,2,1,22157.79,Regular
3142,4,3,1,22211.33,Recent
1479,1,1,1,22212.14,At Risk
6081,1,2,1,22251.26,At Risk
3329,5,1,1,22253.51,Recent
227,5,1,1,22286.66,Recent
8948,2,1,1,22287.71,At Risk
3872,1,1,1,22304.05,At Risk
4654,3,3,1,22391.22,Regular
1663,1,1,1,22413.22,At Risk
6836,1,1,1,22454.27,At Risk
744,1,1,1,22524.75,At Risk
952,1,1,1,22555.63,At Risk
8978,1,1,1,22580.04,At Risk
5056,4,1,1,22601.04,Recent
6962,2,1,1,22624.70,At Risk
7756,1,2,1,22641.06,At Risk
814,4,1,1,22670.29,Recent
7904,2,2,1,22678.10,At Risk
981,1,1,1,22716.13,At Risk
9256,1,1,1,22748.13,At Risk
6469,2,1,1,22815.44,At Risk
6934,3,1,1,22877.60,Regular
6620,1,1,1,22950.33,At Risk
4384,2,2,1,22977.73,At Risk
8079,1,1,1,22979.65,At Risk
3174,1,1,1,22999.12,At Risk
6983,4,3,1,23007.82,Recent
630,4,2,1,23105.01,Recent
1653,3,2,1,23110.84,Regular
7789,4,1,1,23120.12,Recent
8392,2,2,1,23135.12,At Risk
5306,5,2,1,23141.59,Recent
4717,2,1,1,23154.44,At Risk
3196,2,2,1,23169.64,At Risk
3399,4,1,1,23238.58,Recent
6175,5,1,1,23334.18,Recent
3863,2,1,1,23354.21,At Risk
2809,1,1,1,23523.35,At Risk
4977,2,1,1,23592.70,At Risk
8105,1,1,1,23596.87,At Risk
398,1,1,1,23618.75,At Risk
9955,1,1,1,23634.37,At Risk
421,2,1,1,23667.23,At Risk
5636,1,1,1,23704.21,At Risk
6142,3,1,1,23805.91,Regular
5839,2,2,1,23809.35,At Risk
8394,5,3,1,23843.56,Recent
9072,2,2,1,23871.25,At Risk
2810,3,2,1,23880.55,Regular
798,1,1,1,23994.25,At Risk
5741,1,1,1,23995.14,At Risk
9068,4,2,1,24030.03,Recent
4621,1,1,1,24055.12,At Risk
6051,1,1,1,24056.20,At Risk
9672,1,1,1,24063.54,At Risk
6126,5,1,1,24080.43,Recent
7769,1,1,1,24093.32,At Risk
7647,1,1,1,24150.72,At Risk
9522,5,1,1,24160.05,Recent
7307,4,1,1,24164.12,Recent
3467,1,1,1,24177.98,At Risk
6492,3,2,1,24247.09,Regular
9478,2,1,1,24287.27,At Risk
7515,5,3,1,24396.72,Recent
4586,5,3,1,24443.21,Recent
4204,2,2,1,24456.96,At Risk
3103,1,2,1,24491.66,At Risk
9376,4,1,1,24529.73,Recent
1890,1,1,1,24593.31,At Risk
6900,3,2,1,24747.95,Regular
242,1,2,1,24752.17,At Risk
6745,1,1,1,24778.93,At Risk
1905,4,3,1,24849.91,Recent
2915,1,1,1,24943.38,At Risk
5950,1,1,1,24983.88,At Risk
9241,5,1,1,25007.06,Recent
3887,5,1,1,25207.22,Recent
1599,1,1,1,25248.36,At Risk
6405,3,1,1,25259.52,Regular
1196,5,2,1,25297.03,Recent
7131,2,2,1,25331.34,At Risk
7254,1,1,1,25336.95,At Risk
4248,1,1,1,25435.24,At Risk
7687,3,1,1,25470.48,Regular
8299,1,1,1,25580.48,At Risk
30,2,1,1,25614.11,At Risk
2882,3,1,1,25705.54,Regular
3116,2,2,1,25727.69,At Risk
7384,4,1,1,25807.43,Recent
4513,4,2,1,25830.25,Recent
2739,4,1,1,25835.47,Recent
6859,4,2,1,25842.18,Recent
2308,1,2,1,25873.24,At Risk
3365,5,1,1,25884.53,Recent
3278,3,3,1,25932.86,Regular
6917,1,2,1,25957.20,At Risk
1143,1,1,1,26023.84,At Risk
6938,1,1,1,26042.82,At Risk
5062,5,3,1,26049.40,Recent
8013,3,1,1,26078.05,Regular
7177,2,1,1,26122.81,At Risk
9876,1,1,1,26122.96,At Risk
637,1,1,1,26150.89,At Risk
4857,1,1,1,26221.63,At Risk
6832,2,2,1,26234.96,At Risk
6987,5,1,1,26275.03,Recent
1710,2,2,1,26317.73,At Risk
1334,5,1,1,26330.56,Recent
5468,1,1,1,26353.86,At Risk
9598,2,1,1,26416.12,At Risk
4661,2,2,1,26427.47,At Risk
8157,1,1,1,26433.63,At Risk
2618,2,2,1,26460.22,At Risk
3447,2,2,1,26462.32,At Risk
7874,1,2,1,26463.03,At Risk
993,2,2,1,26473.15,At Risk
406,2,1,1,26473.79,At Risk
7025,1,1,1,26511.20,At Risk
1522,1,2,1,26512.09,At Risk
4047,2,2,1,26516.74,At Risk
4972,1,2,1,26538.11,At Risk
6646,1,1,1,26583.21,At Risk
9095,3,1,1,26652.33,Regular
5196,1,1,1,26719.80,At Risk
2996,1,1,1,26740.43,At Risk
1680,1,1,1,26746.56,At Risk
4672,3,3,1,26811.67,Regular
9858,4,2,1,26819.37,Recent
7932,1,2,1,26824.52,At Risk
3153,4,1,1,26894.14,Recent
4703,4,3,1,26901.30,Recent
4326,1,1,1,26917.47,At Risk
9580,2,2,1,26947.88,At Risk
7869,3,2,1,26961.55,Regular
2417,1,1,1,27010.05,At Risk
1421,3,2,1,27013.77,Regular
9782,2,2,1,27069.05,At Risk
1173,3,2,1,27153.39,Regular
9951,4,1,1,27160.86,Recent
8089,4,1,1,27208.79,Recent
104,2,1,1,27251.09,At Risk
7214,5,1,1,27297.64,Recent
2672,1,1,1,27321.24,At Risk
378,2,1,1,27323.63,At Risk
4973,1,4,1,27328.86,Regular
3632,5,4,1,27332.33,Recent
8180,1,2,1,27373.39,At Risk
4688,5,1,1,27390.83,Recent
5859,3,2,1,27392.07,Regular
785,1,1,1,27532.94,At Risk
7229,1,1,1,27603.52,At Risk
4459,5,1,1,27630.66,Recent
9107,1,1,1,27666.60,At Risk
1035,1,1,1,27689.45,At Risk
5388,2,2,1,27735.11,At Risk
2244,1,1,1,27764.91,At Risk
5807,1,1,1,27795.96,At Risk
6728,3,2,1,27857.43,Regular
9515,2,2,1,27946.39,At Risk
5105,3,1,1,28028.87,Regular
3047,5,3,1,28051.73,Recent
5428,3,1,1,28112.34,Regular
1070,3,2,1,28113.34,Regular
6718,3,1,1,28120.76,Regular
8327,1,1,1,28123.87,At Risk
7905,1,1,1,28214.56,At Risk
